01/22/2019	1.25%
10/16/2018	0.59%
07/18/2018	1.65%
04/17/2018	2.08%
01/18/2018	0.19%
10/17/2017	0.61%
07/18/2017	8.79%
04/18/2017	1.71%
01/19/2017	2.45%
10/17/2016	2.49%
07/18/2016	2.08%
04/18/2016	12.44%
01/19/2016	1.68%
10/19/2015	0.30%
07/20/2015	1.05%
04/20/2015	2.46%
01/20/2015	7.39%
10/20/2014	-14.42%
07/17/2014	0.23%
04/16/2014	0.00%
01/21/2014	2.00%
10/16/2013	1.01%
07/17/2013	3.44%
04/18/2013	-1.96%
01/22/2013	2.67%
10/16/2012	0.00%
07/18/2012	2.63%
04/17/2012	5.70%
01/19/2012	1.94%
10/17/2011	1.86%
07/18/2011	2.66%
04/19/2011	0.87%
01/18/2011	2.45%
10/18/2010	2.55%
07/19/2010	1.16%
04/19/2010	1.55%
01/19/2010	3.46%
10/15/2009	0.42%
07/16/2009	14.29%
04/20/2009	1.80%
01/20/2009	8.25%
10/16/2008	0.49%
07/17/2008	9.39%
04/16/2008	13.79%
01/17/2008	2.19%
10/16/2007	0.00%
07/18/2007	2.74%
04/17/2007	0.00%
01/18/2007	0.46%
10/17/2006	7.41%
07/18/2006	1.56%
04/18/2006	2.86%
01/17/2006	8.76%
10/17/2005	10.53%
07/18/2005	7.69%
04/14/2005	-6.59%
01/18/2005	3.43%


